		1
	1 	 5.7755942156e+02 
	2 	 5.3486716810e+01 
	3 	 -4.4569342524e+00 
	4 	 -1.7582885429e+01 
	5 	 -2.4797782410e+01 
	6 	 3.3886860547e+00 
	7 	 1.2338094866e+01 
	8 	 8.4689764057e-01 
	9 	 9.5080329293e-01 
	10 	 -6.4040936568e+00 
	11 	 2.9064045590e+00 
	12 	 1.0957591578e+01 
	13 	 -5.6599323320e+00 
	14 	 -3.3234388335e+00 
	15 	 -2.6274095625e+00 
	16 	 1.1370737585e+01 
	17 	 7.5806250806e+00 
	18 	 -9.1331347691e-02 
	19 	 -1.1299402341e+01 
	20 	 1.3240790342e-01 
	21 	 2.9352467359e+00 
	22 	 -3.2001088955e+00 
	23 	 4.3580136374e+00 
	24 	 -3.3368338473e+00 
	25 	 -6.2727954283e+00 
	26 	 8.2259834536e+00 
	27 	 -1.5191129965e+01 
	28 	 -9.4892438817e+00 
	29 	 -6.8417151660e+00 
	30 	 7.7976894586e-01 
	31 	 -2.1402451667e+00 
		2
	1 	 5.3486716810e+01 
	2 	 5.5004802161e+02 
	3 	 3.5613306393e+01 
	4 	 -7.1507955021e+00 
	5 	 -1.3797414881e+01 
	6 	 -1.9868513895e+01 
	7 	 -2.5575576099e+00 
	8 	 -1.8049549002e+00 
	9 	 -5.9900424861e+00 
	10 	 1.1504721354e+00 
	11 	 -2.9875068602e+00 
	12 	 -8.8345805087e+00 
	13 	 -1.7297538730e+01 
	14 	 -1.4847912889e+01 
	15 	 2.0467801721e+01 
	16 	 -3.4071291386e+00 
	17 	 1.1697428464e+00 
	18 	 -5.7442955924e-01 
	19 	 5.2368928783e+00 
	20 	 -1.3419728327e+01 
	21 	 9.0220047699e+00 
	22 	 6.6189715386e+00 
	23 	 1.1135762254e+00 
	24 	 1.7964945098e+00 
	25 	 -6.1842696311e+00 
	26 	 -2.9848403664e+00 
	27 	 1.0130119639e+00 
	28 	 5.0936880181e+00 
	29 	 7.9550933295e+00 
	30 	 1.8148943706e+01 
	31 	 -1.6282587693e+01 
		3
	1 	 -4.4569342524e+00 
	2 	 3.5613306393e+01 
	3 	 5.5559938642e+02 
	4 	 3.3367428021e+01 
	5 	 7.3674912194e+00 
	6 	 -2.0133097449e+01 
	7 	 -2.4905111668e+01 
	8 	 3.3207034908e+00 
	9 	 3.1652975830e+00 
	10 	 -1.1015401963e+01 
	11 	 -2.5519149547e+00 
	12 	 -2.8336537803e+00 
	13 	 -2.9067533478e+00 
	14 	 6.4169441528e+00 
	15 	 8.4869365705e-01 
	16 	 7.8373979316e+00 
	17 	 -8.4285033735e+00 
	18 	 -6.0553112150e+00 
	19 	 -7.0927585909e+00 
	20 	 8.5619689160e+00 
	21 	 1.1778651060e+01 
	22 	 2.3623625500e+01 
	23 	 -9.0269403700e-01 
	24 	 -2.9598006656e+00 
	25 	 1.4386151965e+00 
	26 	 1.0340788579e+01 
	27 	 1.2205576462e+01 
	28 	 -2.9576108293e+00 
	29 	 -1.0725365064e+01 
	30 	 2.2287816745e+00 
	31 	 2.5193459549e+00 
		4
	1 	 -1.7582885429e+01 
	2 	 -7.1507955021e+00 
	3 	 3.3367428021e+01 
	4 	 5.3610100140e+02 
	5 	 2.8205590104e+01 
	6 	 -2.0348586767e+00 
	7 	 -2.5200244359e+01 
	8 	 -1.7617541119e+01 
	9 	 -2.1378176220e+00 
	10 	 -1.0062586064e+01 
	11 	 1.3329153960e+00 
	12 	 -1.1169800277e+00 
	13 	 -1.0612808587e+00 
	14 	 9.5671614962e-02 
	15 	 -9.9824456589e+00 
	16 	 4.3365223929e+00 
	17 	 -7.5223389587e-01 
	18 	 5.7887839564e+00 
	19 	 -5.4323922348e+00 
	20 	 -3.3621005027e+00 
	21 	 -6.4891636130e-01 
	22 	 -1.2357493133e+01 
	23 	 2.3420479098e+00 
	24 	 -1.0692732869e+00 
	25 	 6.7250880142e+00 
	26 	 5.1410596174e+00 
	27 	 2.8786933084e+00 
	28 	 -3.1169442987e+00 
	29 	 -1.1972454713e+01 
	30 	 -1.6092529737e+01 
	31 	 8.9205951712e+00 
		5
	1 	 -2.4797782410e+01 
	2 	 -1.3797414881e+01 
	3 	 7.3674912194e+00 
	4 	 2.8205590104e+01 
	5 	 5.2586976185e+02 
	6 	 1.9723627804e+01 
	7 	 4.2248237020e+00 
