0.500000  
 1 0.048619 0.940887 0.665608 0.579450 0.347846 0.002545 50.000000 0.536014 0.512772 0.097501 
 2 0.047341 0.479825 0.476332 0.607834 0.731225 -0.156145 2.138330 0.689324 0.521085 0.078894 
 3 0.069219 0.990345 0.648302 0.685543 0.223788 0.000209 50.000000 0.650938 0.486995 0.155993 
 4 0.048659 0.946078 0.681566 0.565656 0.361076 0.001641 50.000000 0.522360 0.519787 0.077578 
 5 0.067149 0.986059 0.636577 0.678766 0.233265 0.000286 49.438081 0.632416 0.497514 0.153947 
 6 0.065671 0.260473 0.564491 0.737054 0.862798 -0.124149 2.087987 0.686550 0.501645 0.134891 
 7 0.063223 0.957156 0.636654 0.699882 0.237793 -0.000819 4.832026 0.638754 0.494149 0.129437 
 8 0.049789 0.990581 0.603912 0.468726 0.282162 0.000354 49.999996 0.673266 0.663749 0.081767 
 9 0.051548 0.355458 0.619651 0.618819 0.926598 0.009298 9.338013 0.602457 0.514333 0.089796 
 10 0.056631 0.446843 0.468114 0.578288 0.781362 -0.103641 2.684395 0.697621 0.535457 0.114277 
 11 0.068594 0.244957 0.615499 0.705108 0.928285 0.005431 34.653027 0.661479 0.496268 0.125975 
 12 0.049042 0.440024 0.703028 0.530769 0.815453 -0.157675 1.950599 0.483800 0.569511 0.067654 
 13 0.056348 0.964318 0.612597 0.504847 0.286909 0.000733 49.999964 0.629248 0.629520 0.132706 
 14 0.048756 0.308073 0.632914 0.630758 0.951562 0.017736 5.537447 0.586210 0.496162 0.065498 
 15 0.063121 0.304141 0.526808 0.654915 0.845393 -0.499999 1.343341 0.680455 0.510419 0.140882 
 16 0.052610 0.563628 0.709012 0.525651 0.703125 -0.175112 2.110132 0.421362 0.550624 0.107829 
