           1
      1  0.6803471224E+02
      2  0.3960404332E+02
      3  -.3968000560E+01
      4  -.2430728568E+02
      5  -.1958279648E+02
      6  -.7741058360E+01
      7  -.5354024802E+00
      8  0.1135043280E+01
      9  0.2961765998E+00
     10  -.2160770002E+00
     11  0.1749265998E+00
     12  0.2041769198E+00
     13  0.1927307983E-01
     14  -.1117916880E+01
     15  -.7303223202E+00
     16  0.3846941998E+00
     17  0.3040763998E+00
     18  -.5245989202E+00
     19  -.1157838802E+00
     20  0.5576765598E+00
     21  0.9789352798E+00
     22  0.6128635998E+00
     23  0.5611691983E-01
     24  0.2667359998E+00
     25  -.3955351202E+00
     26  -.2032531602E+00
     27  -.4358724017E-01
     28  0.4036387598E+00
     29  0.3454171598E+00
     30  -.1532120402E+00
     31  -.2460393202E+00
           2
      1  0.3960404332E+02
      2  0.6734867440E+02
      3  0.3847053052E+02
      4  -.4453654600E+01
      5  -.2386446540E+02
      6  -.1899022728E+02
      7  -.7365371400E+01
      8  -.1826256402E+00
      9  0.9202076798E+00
     10  0.5858540798E+00
     11  0.6899576798E+00
     12  0.4289079998E+00
     13  -.2896958402E+00
     14  -.1251985800E+01
     15  -.1041991240E+01
     16  -.3033747202E+00
     17  -.2408925202E+00
     18  -.7517678402E+00
     19  0.1676471998E+00
     20  0.1120907640E+01
     21  0.7796663598E+00
     22  0.3264946798E+00
     23  -.1547520002E+00
     24  -.2132329202E+00
     25  -.6575040402E+00
     26  0.3838779198E+00
     27  0.1019943840E+01
     28  0.1099169840E+01
     29  0.6803482398E+00
     30  -.6874809602E+00
     31  -.1130208240E+01
           3
      1  -.3968000560E+01
      2  0.3847053052E+02
      3  0.6707568664E+02
      4  0.3859240152E+02
      5  -.4516509280E+01
      6  -.2434847116E+02
      7  -.1966141528E+02
      8  -.7651269520E+01
      9  -.5961362002E+00
     10  0.9500101998E+00
     11  0.7265137998E+00
     12  0.3416641198E+00
     13  -.4941397202E+00
     14  -.3084296802E+00
     15  -.4299351202E+00
     16  -.2032186002E+00
     17  -.3706364002E+00
     18  -.3114117202E+00
     19  0.2896033198E+00
     20  0.7223637598E+00
     21  0.5669224798E+00
     22  0.3165507998E+00
     23  -.1510958802E+00
     24  -.5483768002E+00
     25  -.4532479202E+00
     26  0.6398340398E+00
     27  0.1498099960E+01
     28  0.1310325960E+01
     29  0.4435043598E+00
     30  -.8814248402E+00
     31  -.1012552120E+01
           4
      1  -.2430728568E+02
      2  -.4453654600E+01
      3  0.3859240152E+02
      4  0.6689851640E+02
      5  0.3790650560E+02
      6  -.5244256280E+01
      7  -.2457880040E+02
      8  -.1959485464E+02
      9  -.7315621320E+01
     10  -.8316749202E+00
     11  0.6192286798E+00
     12  0.8535789998E+00
     13  -.4562484017E-01
     14  0.2178519983E-01
     15  -.3175202402E+00
     16  -.5450372017E-01
     17  0.2902784798E+00
     18  0.2353031598E+00
     19  -.4635818002E+00
     20  -.9493213602E+00
     21  -.1501626402E+00
     22  0.3628656798E+00
     23  0.4738189998E+00
     24  0.2919380798E+00
     25  0.1276669598E+00
     26  0.6489198334E-03
     27  0.2947148398E+00
     28  0.4445408398E+00
     29  -.2002807602E+00
     30  -.7748099602E+00
     31  -.7970372402E+00
           5
      1  -.1958279648E+02
      2  -.2386446540E+02
      3  -.4516509280E+01
      4  0.3790650560E+02
      5  0.6624909480E+02
      6  0.3771383292E+02
      7  -.4952511200E+01
      8  -.2432976544E+02
      9  -.1874013212E+02
     10  -.8134985720E+01
     11  -.1583382120E+01
     12  0.2073068200E+01
     13  0.1889364360E+01
     14  0.1087743998E+00
     15  -.6966310402E+00
     16  -.3332145202E+00
     17  0.1526676798E+00
     18  0.1416923598E+00
     19  -.9073926002E+00
     20  -.1679832160E+01
     21  -.9195734402E+00
     22  -.8774512017E-01
     23  0.5255081998E+00
     24  0.6842272798E+00
     25  0.4267561598E+00
     26  0.4438119833E-02
     27  -.5035959602E+00
     28  -.5710699602E+00
     29  -.9571915602E+00
     30  -.4083207602E+00
     31  0.1695519598E+00
           6
      1  -.7741058360E+01
      2  -.1899022728E+02
      3  -.2434847116E+02
      4  -.5244256280E+01
      5  0.3771383292E+02
      6  0.6727947104E+02
      7  0.3931462692E+02
      8  -.4230127320E+01
      9  -.2430969400E+02
     10  -.2047144760E+02
     11  -.8788444000E+01
     12  0.4127063198E+00
     13  0.2963902480E+01
     14  0.1323712520E+01
     15  -.6429292017E-01
     16  -.6877640017E-01
     17  0.1014057998E+00
     18  0.3411304798E+00
     19  -.5698544802E+00
     20  -.1240094040E+01
     21  -.1047735320E+01
     22  -.2229070002E+00
     23  0.6083463198E+00
     24  0.7265653998E+00
     25  0.8789427983E-01
     26  -.1458237602E+00
     27  -.4515784017E-01
     28  -.8343184017E-01
     29  -.5732534402E+00
     30  -.1814826402E+00
     31  0.4777900798E+00
           7
      1  -.5354024802E+00
      2  -.7365371400E+01
      3  -.1966141528E+02
      4  -.2457880040E+02
      5  -.4952511200E+01
      6  0.3931462692E+02
      7  0.6844868280E+02
      8  0.3889152856E+02
      9  -.5130638120E+01
     10  -.2544899172E+02
     11  -.2039048812E+02
     12  -.7850237800E+01
     13  0.4618583598E+00
     14  0.1738868400E+01
     15  0.8050629598E+00
     16  0.2360794798E+00
     17  0.3044616798E+00
